"","fips","county.x","state.x","mmd_flu_12","mmd_flu_13","mmd_flu_14","mmd_flu_15","flu_vax_16","mmd_flu_17","mmd_flu_18","mmd_flu_19","mmd_flu_20","mmd_flu_21","county.2019.x","total.pop.2019","M.per.100.F.2019","white.2019","black.2019","NA.NI.2019","asian.2019","NH.PI.2019","other.race.2019","hispanic.latino.2019","total.housing.units.2019","state.2019","age.0.19.2019","age.20.34.2019","age.35.54.2019","age.55.64.2019","age.over.64.2019","county.2019.y","houses.with.youth.2019","houses.with.senior.2019","avg.house.size.2019","avg.family.size.2019","birth.in.last.yr.per.100F.2019","grandparents.living.with.grandchildren.2019","pop.3yo..in.school.2019","in.preschool.2019","in.kindgergarten.2019","in.grades.1.8.2019","in.high.school.2019","in.college.or.grad.school.2019","education.less.than.9th.2019","educ.9.12th.no.diploma.2019","educ.high.schl.diploma.2019","educ.some.college.2019","educ.assoc.deg.2019","educ.bach.deg.2019","educ.grad.prof.deg.2019","educ.high.schl.or.higher..deg.2019","educ.bach.or.higher.deg.2019","veteran.2019","all.disabled.2019","under.18.disabled.2019","X18.64.disabled.2019","senior.disabled.2019","english.only.2019","other.than.english.2019","other.lang.english.limited.2019","spanish.2019","spanish.english.limited.2019","houses.w.computer.2019","houses.w.internet.2019","state"
"1",1001,"Autauga County","ALABAMA",42,42,41,39,41,41,41,42,42,36,"Autauga County","55,380",94.7,"78.80%","20.00%","0.80%","1.70%","0.20%","0.70%","2.80%","23,493","Alabama",26.1,19.1,27.2,12.6,15,"Autauga County",34.3,28.1,2.56,3.09,52,1144,13131,3.7,7.9,43.6,23.8,21,2.5,9,33.6,20,8.4,16.1,10.5,88.5,26.6,12.6,19,9.1,15.8,47.9,95.7,4.3,1.4,2.6,0.6,89.2,80.6,"Alabama"
"2",1003,"Baldwin County","ALABAMA",47,47,47,44,46,45,47,47,48,43,"Baldwin County","212,830",94.7,"87.80%","9.70%","1.60%","1.40%","0.00%","1.30%","4.60%","114,164","Alabama",23.9,16.3,25.4,14.3,20,"Baldwin County",27.6,35.5,2.59,3.24,40,5234,45187,6.1,5.2,47.5,23.5,17.7,2.3,6.9,27.7,21.8,9.4,21,10.8,90.8,31.9,11.8,14.2,3.8,11.7,33.2,94.6,5.4,1.8,3.7,1.3,90.9,81.8,"Alabama"
"3",1005,"Barbour County","ALABAMA",32,34,33,31,36,36,38,35,40,33,"Barbour County","25,361",112.4,"47.60%","48.40%","1.10%","0.70%","0.10%","3.70%","4.40%","12,013","Alabama",22.9,20.7,25.1,12.9,18.6,"Barbour County",31,35.9,2.41,3.01,76,760,5150,6,6.4,44.7,26.9,16,8.5,18.3,35.6,18.8,7.2,7.6,4,73.2,11.6,6.6,21.4,9.3,17.7,45.8,92.9,7.1,2.6,5.8,2.1,77.2,60.5,"Alabama"
"4",1007,"Bibb County","ALABAMA",42,33,31,31,37,35,37,31,32,26,"Bibb County","22,493",117.5,"77.40%","22.70%","0.30%","0.20%","0.00%","0.00%","2.60%","9,185","Alabama",22.4,20.2,28.5,12.8,15.9,"Bibb County",30.8,33.1,2.99,3.74,86,945,4106,4.8,8.6,46.6,26.7,13.2,6.5,14.5,44.9,16.4,7.4,6.5,3.9,79.1,10.4,8,17.2,4.4,16.8,36.1,97.7,2.3,1.3,2,1.3,78.1,69.2,"Alabama"
"5",1009,"Blount County","ALABAMA",40,41,39,38,38,38,39,39,41,35,"Blount County","57,681",97.6,"97.00%","1.90%","1.20%","0.50%","0.10%","0.90%","9.30%","24,323","Alabama",25.4,17.5,25.9,13.3,17.9,"Blount County",31.1,32.5,2.74,3.33,39,1556,12102,3.7,4.8,50.5,24.5,16.6,8.5,11,33.4,21.4,12.5,8.6,4.5,80.5,13.1,7.7,14.1,3.2,11.8,36.1,91.8,8.2,3.4,7.6,3.3,81,73,"Alabama"
"6",1011,"Bullock County","ALABAMA",25,27,26,25,25,27,29,28,31,27,"Bullock County","10,248",119.1,"21.90%","75.60%","0.00%","1.20%","0.00%","2.00%","2.60%","4,557","Alabama",24.8,18.2,26.8,14.1,16.1,"Bullock County",35,31.8,2.79,3.3,10,259,2047,8.1,3.1,40.5,37.9,10.4,5.3,20,40.3,17.9,4.5,7.4,4.6,74.7,12.1,3.3,12,5.9,9.1,31.9,96.6,3.4,1,2.6,0.8,77.3,60.1,"Alabama"
"7",1013,"Butler County","ALABAMA",32,37,37,34,34,34,33,28,33,28,"Butler County","19,828",84.5,"53.90%","46.40%","0.70%","0.40%","0.00%","0.70%","1.40%","10,089","Alabama",24.8,17.3,24,14.2,19.6,"Butler County",25.7,34.3,3,3.78,50,347,4039,5.7,5.6,47.8,26.8,14.2,4.6,10.3,45.2,16.4,7.4,9.7,6.4,85,16.1,6.6,16.5,3.8,14.3,37.8,98.7,1.3,0.4,0.7,0.1,73.3,64.6,"Alabama"
"8",1015,"Calhoun County","ALABAMA",40,40,40,36,37,36,39,37,38,33,"Calhoun County","114,618",92.7,"75.80%","22.00%","1.20%","1.40%","0.10%","2.10%","3.80%","53,631","Alabama",24.6,19.6,24.6,13.9,17.2,"Calhoun County",31,31.3,2.5,3.03,60,3785,26978,6.1,5.3,41.8,20,26.8,5.2,10.4,32.8,25,8.2,10.5,8,84.4,18.5,10.8,21.2,7.7,19.1,46,95.7,4.3,1.5,3.3,1.2,85.7,75.1,"Alabama"
"9",1017,"Chambers County","ALABAMA",42,42,43,41,41,40,41,41,42,39,"Chambers County","33,660",91.6,"58.70%","40.20%","0.50%","1.30%","0.00%","0.30%","2.40%","16,988","Alabama",22.8,18.8,24.9,14.3,19.2,"Chambers County",25.3,34.6,2.46,3.1,56,1047,6807,5.8,3.6,47.8,19.2,23.5,6.2,12.2,36.7,22.3,9.3,9.5,3.8,81.6,13.3,7.9,18.1,2,16.8,40.3,97.6,2.4,1.3,1.2,0.6,79.4,69.4,"Alabama"
"10",1019,"Cherokee County","ALABAMA",46,45,43,39,41,39,48,47,45,41,"Cherokee County","25,903",97.3,"93.60%","5.10%","1.50%","0.30%","0.10%","0.40%","1.60%","16,579","Alabama",22.1,14.6,25.3,15.5,22.5,"Cherokee County",26.7,37.7,2.39,2.94,48,723,5061,3.4,5.6,47.4,27.6,16.1,6.8,11.6,40.3,20.2,8.4,6.6,6.1,81.6,12.8,9.1,17.8,3.5,15.8,36.5,98.5,1.5,0.7,1.2,0.7,81.4,70.7,"Alabama"
"11",1021,"Chilton County","ALABAMA",44,44,45,42,39,41,41,41,40,35,"Chilton County","44,055",95,"85.70%","10.80%","1.90%","0.60%","0.10%","3.70%","7.80%","19,781","Alabama",26.2,18.7,26,13.1,16,"Chilton County",32.4,29.7,2.58,3.06,36,1119,9970,6.1,6.2,45.5,26.6,15.6,5.8,12.4,44.4,16.8,7.9,8.1,4.6,81.8,12.7,7.6,19.4,5.5,19.6,40,92.5,7.5,3.2,6.7,2.9,80.1,68.7,"Alabama"
