"","X.2","X.1","fips","X","county.x","state.x","mmd_flu_12","mmd_flu_13","mmd_flu_14","mmd_flu_15","flu_vax_16","mmd_flu_17","mmd_flu_18","mmd_flu_19","mmd_flu_20","mmd_flu_21","county.2019.x","total.pop.2019","M.per.100.F.2019","white.2019","black.2019","NA.NI.2019","asian.2019","NH.PI.2019","other.race.2019","hispanic.latino.2019","total.housing.units.2019","state.2019","age.0.19.2019","age.20.34.2019","age.35.54.2019","age.55.64.2019","age.over.64.2019","county.2019.y","houses.with.youth.2019","houses.with.senior.2019","avg.house.size.2019","avg.family.size.2019","birth.in.last.yr.per.100F.2019","grandparents.living.with.grandchildren.2019","pop.3yo..in.school.2019","in.preschool.2019","in.kindgergarten.2019","in.grades.1.8.2019","in.high.school.2019","in.college.or.grad.school.2019","education.less.than.9th.2019","educ.9.12th.no.diploma.2019","educ.high.schl.diploma.2019","educ.some.college.2019","educ.assoc.deg.2019","educ.bach.deg.2019","educ.grad.prof.deg.2019","educ.high.schl.or.higher..deg.2019","educ.bach.or.higher.deg.2019","veteran.2019","all.disabled.2019","under.18.disabled.2019","X18.64.disabled.2019","senior.disabled.2019","english.only.2019","other.than.english.2019","other.lang.english.limited.2019","spanish.2019","spanish.english.limited.2019","houses.w.computer.2019","houses.w.internet.2019","state.x.1","county.2021.x","total.pop.2021","M.per.100.F.2021","white.2021","black.2021","NA.NI.2021","asian.2021","NH.PI.2021","other.race.2021","hispanic.latino.2021","total.housing.units.2021","state.2021","age.0.19.2021","age.20.44.2021","age.45.64.2021","age.over.64.2021","county.2021.y","houses.with.youth.2021","houses.with.senior.2021","avg.house.size.2021","avg.family.size.2021","birth.in.last.yr.per.100F.2021","grandparents.living.with.grandchildren.2021","pop.3yo..in.school.2021","in.preschool.2021","in.kindgergarten.2021","in.grades.1.8.2021","in.high.school.2021","in.college.or.grad.school.2021","education.less.than.9th.2021","educ.9.12th.no.diploma.2021","educ.high.schl.diploma.2021","educ.some.college.2021","educ.assoc.deg.2021","educ.bach.deg.2021","educ.grad.prof.deg.2021","educ.high.schl.or.higher..deg.2021","educ.bach.or.higher.deg.2021","veteran.2021","all.disabled.2021","under.18.disabled.2021","X18.64.disabled.2021","senior.disabled.2021","english.only.2021","other.than.english.2021","other.lang.english.limited.2021","spanish.2021","spanish.english.limited.2021","houses.w.computer.2021","houses.w.internet.2021","state.y","mmd19_21_change"
"22",22,22,1043,22,"Cullman County","ALABAMA",41,43,42,38,40,40,43,43,51,46,"Cullman County","82,853",96.8,"97.00%","1.70%","1.30%","0.80%","0.10%","1.10%","4.40%","37,842","Alabama",24.6,18.2,25.4,13.4,18.3,"Cullman County",30.5,33.4,2.63,3.18,40,2122,17167,5,4.8,49.5,24.2,16.5,5.4,13,34.1,22.6,11,8.9,5,81.6,13.9,8,17.7,3.5,16,41.2,96,4,1.6,3.4,1.3,83,74.1,"Alabama","Cullman County","89,496",98.2,"94.4%","1.7%","1.4%","0.8%","N","4.7%","4.7%","39,465","Alabama",24.2,30.4,26.5,18.9,"Cullman County",30.8,33.4,2.61,3.15,42,2154,18752,6.5,4.8,47.3,23.4,18.1,4.6,11.2,32.4,24.2,11.1,10.8,5.7,84.2,16.5,7.5,18.4,3.4,18.1,38.6,96.5,3.5,1.3,3,1.2,88.5,81.9,"Alabama",-3
"55",55,55,1109,55,"Pike County","ALABAMA",37,38,39,37,37,36,37,31,35,32,"Pike County","33,333",92.1,"60.20%","38.50%","1.20%","2.40%","0.10%","0.20%","2.30%","16,123","Alabama",25.1,28.9,20.2,11.1,14.8,"Pike County",22.5,28.3,2.71,3.68,54,534,11272,5.2,4.1,25.1,11.1,54.5,4.7,10.3,35.7,21.3,4.1,14.1,9.6,85,23.7,7.1,16,6.6,13.3,41.4,94.2,5.8,4,1.5,0.4,75,66.3,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pike County",23.8,28.5,2.73,3.65,35,536,10984,5,4.2,26.9,11.1,52.8,3.3,9.4,36.3,19,4.3,16.3,11.5,87.3,27.8,7.1,15.5,6.3,11.4,45.3,94.9,5.1,2.2,1.9,0.6,83.3,74,"Alabama",-1
"56",56,56,1111,56,"Randolph County","ALABAMA",31,34,32,30,31,32,32,28,32,32,"Randolph County","22,647",95.4,"78.80%","21.70%","0.40%","0.40%","0.00%","0.50%","2.90%","12,097","Alabama",24.4,16.5,24.2,14.5,20.4,"Randolph County",25,37.7,2.55,3.19,37,385,4710,2.9,5.8,44.1,26.4,20.8,7.2,13.2,34.9,20,8.2,9.6,6.9,79.6,16.5,7.7,17.4,4.8,14.4,39.6,97.9,2.1,0.6,1.3,0.4,82.3,69.8,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Randolph County",27.2,37.9,2.5,3.07,55,359,4533,3.6,5.8,42,27.5,21,6.5,13.2,34.4,19.5,10.1,9.2,7.1,80.3,16.2,6.7,18.5,3.6,14.8,45.2,97.1,2.9,1,2,0.7,86.7,76.6,"Alabama",-4
"66",66,66,1131,66,"Wilcox County","ALABAMA",25,26,25,23,22,22,21,20,26,21,"Wilcox County","10,681",88.5,"30.40%","69.70%","0.40%","2.60%","0.00%","0.00%","0.50%","5,777","Alabama",27.4,16.6,23.3,13.7,19,"Wilcox County",23.5,36.4,2.71,3.67,23,253,2566,3.9,1.9,48.9,30.2,15,5.7,17.9,39.5,18.9,5.6,8.8,3.7,76.5,12.5,4.7,19.2,4.7,19.4,37.9,97.3,2.7,0.9,0.6,0.3,66.3,53.7,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wilcox County",23.2,39.4,2.89,3.86,21,268,2425,4.2,5.4,51.4,27.6,11.3,5.5,15.3,39.2,22.5,6.5,7.3,3.7,79.2,11,7,19.1,2.4,18.3,41.8,97.6,2.4,0.5,0.9,0.2,80.5,71.1,"Alabama",-1
"79",79,79,2122,79,"Kenai Peninsula Borough","ALASKA",59,31,42,16,21,30,22,25,33,26,"Kenai Peninsula Borough","58,464",108.9,"87.80%","1.10%","12.00%","2.60%","0.80%","1.90%","4.20%","31,249","Alaska",25,17.9,24.5,16.1,16.5,"Kenai Peninsula Borough",28.8,30.9,2.63,3.28,44,936,12564,5.2,5.2,45.9,24.4,19.3,2,5.3,31.2,27.6,9.3,15.1,9.5,92.7,24.6,11,14.8,5,12.8,35.9,91.9,8.1,1.7,3.2,0.5,90.8,79.5,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenai Peninsula Borough",25.4,33.6,2.52,3.21,50,978,12176,4.3,5.1,48.7,25.1,16.9,1.7,4.4,30.9,27.1,8.6,17.6,9.8,94,27.4,10.4,15.5,6.4,13.3,34.4,92.7,7.3,1.4,2.5,0.3,93.3,85,"Alaska",-1
"90",90,90,2220,90,"Sitka City and Borough","ALASKA",42,40,44,34,18,31,39,43,43,49,"Sitka City and Borough","8,640",105.9,"77.50%","1.50%","23.90%","9.40%","0.40%","1.70%","6.80%","4,225","Alaska",23.5,19.6,27.2,14.5,15.1,"Sitka City and Borough",27.2,27.9,2.36,2.96,28,143,1999,3.7,4.7,49,20.7,21.9,1.8,3.5,27.4,23.4,10.5,20.2,13.2,94.7,33.4,9,12.4,4.9,9.2,36,87.6,12.4,2.8,4,0.7,93.7,84.2,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sitka City and Borough",28.5,30.6,2.41,2.94,29,188,2039,4.4,4.4,43.7,21.2,26.2,2.6,2.6,25.4,25.9,10.2,22.1,11.2,94.8,33.2,9.3,13,6.2,9.8,34.7,86.6,13.4,3.3,5.1,1.1,94.1,85.1,"Alaska",-6
"91",91,91,2230,91,"Skagway Municipality","ALASKA",14,17,19,16,15,24,32,26,20,33,"Skagway Municipality","1,107",121,"88.60%","4.00%","8.20%","2.10%","0.00%","1.30%","5.70%","601","Alaska",17.2,23.7,29.7,17.6,11.8,"Skagway Municipality",20.8,25.3,2.51,2.87,58,8,144,4.2,6.3,34,29.9,25.7,2.4,2.9,29.2,30,5.9,24.8,4.8,94.7,29.6,6.2,12.5,0,10.6,39.2,89,11,1.1,4.4,1,96,84.3,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skagway Municipality",20.3,33.1,2.95,4.09,50,10,210,3.3,4.3,30,24.3,38.1,6.4,3.1,33.5,26.7,5.2,18.7,6.3,90.5,25,5.2,13.7,5.7,7.6,55.4,90.1,9.9,1.6,3.9,1.2,96.9,86.9,"Alaska",-7
"97",97,97,2290,97,"Yukon-Koyukuk Census Area","ALASKA",24,30,34,21,29,32,27,31,34,35,"Yukon-Koyukuk Census Area","5,377",115.3,"29.30%","0.80%","75.80%","0.90%","0.10%","0.20%","2.70%","4,090","Alaska",30.1,19.4,22,14.1,14.3,"Yukon-Koyukuk Census Area",32.8,29.3,2.69,3.55,72,151,1379,8,7.5,49.1,22.3,13.1,5,9.1,40.2,28.8,3.4,8.2,5.4,86,13.6,9.7,15.7,3.4,14.7,43.9,86.6,13.4,2,0.7,0,68.4,42.9,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yukon-Koyukuk Census Area",31.9,31,2.65,3.58,89,186,1393,7,7.7,47.1,22.3,16,4.8,8.1,42.3,27.1,4.8,8.4,4.5,87.1,12.9,10.7,16.7,2.8,16.4,43.2,86.2,13.8,1.8,0.6,0.1,73.4,45.9,"Alaska",-4
"100",100,100,4005,100,"Coconino County","ARIZONA",38,37,37,37,38,40,40,39,46,41,"Coconino County","141,274",97.6,"67.30%","2.10%","28.30%","2.90%","0.40%","3.00%","14.10%","66,086","Arizona",28.9,26.1,21.3,11.8,12,"Coconino County",27.3,25.4,2.67,3.33,35,3491,49204,3.7,3.1,26.7,13.6,52.8,3.7,5.8,22,23.9,8.4,20.6,15.6,90.5,36.2,6.6,12.4,4.4,10.6,36.4,76,24,5.3,6.4,1.5,90.9,78.2,"Arizona","Coconino County","145,052",96.1,"62.7%","2.2%","28.6%","2.9%","0.4%","12.8%","14.9%","70,055","Arizona",28.4,35.9,21.6,14,"Coconino County",27.7,26.8,2.56,3.19,28,4092,48850,3.5,3.1,28.3,12.5,52.6,3.3,5.7,21.3,22.8,8.2,22.9,15.8,91,38.7,6.2,13,4.6,11.5,34,76.2,23.8,5.1,6.8,1.5,93.6,80.6,"Arizona",-2
"113",113,113,4990,113,"","ARIZONA",33,29,52,37,40,52,33,47,39,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3
