"","county.2019","houses.with.youth.2019","houses.with.senior.2019","avg.house.size.2019","avg.family.size.2019","birth.in.last.yr.per.100F.2019","grandparents.living.with.grandchildren.2019","pop.3yo+.in.school.2019","in.preschool.2019","in.kindgergarten.2019","in.grades.1-8.2019","in.high.school.2019","in.college.or.grad.school.2019","education.less.than.9th.2019","educ.9-12th.no.diploma.2019","educ.high.schl.diploma.2019","educ.some.college.2019","educ.assoc.deg.2019","educ.bach.deg.2019","educ.grad/prof.deg.2019","educ.high.schl.or.higher..deg.2019","educ.bach.or.higher.deg.2019","veteran.2019","all.disabled.2019","under.18.disabled.2019","18-64.disabled.2019","senior.disabled.2019","english.only.2019","other.than.english.2019","other.lang.english.limited.2019","spanish.2019","spanish.english.limited.2019","houses.w.computer.2019","houses.w.internet.2019","state","fips"
"1","Autauga County",34.3,28.1,2.56,3.09,52,1144,13131,3.7,7.9,43.6,23.8,21,2.5,9,33.6,20,8.4,16.1,10.5,88.5,26.6,12.6,19,9.1,15.8,47.9,95.7,4.3,1.4,2.6,0.6,89.2,80.6,"Alabama","01001"
"6","Baldwin County",27.6,35.5,2.59,3.24,40,5234,45187,6.1,5.2,47.5,23.5,17.7,2.3,6.9,27.7,21.8,9.4,21,10.8,90.8,31.9,11.8,14.2,3.8,11.7,33.2,94.6,5.4,1.8,3.7,1.3,90.9,81.8,"Alabama","01003"
"11","Barbour County",31,35.9,2.41,3.01,76,760,5150,6,6.4,44.7,26.9,16,8.5,18.3,35.6,18.8,7.2,7.6,4,73.2,11.6,6.6,21.4,9.3,17.7,45.8,92.9,7.1,2.6,5.8,2.1,77.2,60.5,"Alabama","01005"
"16","Bibb County",30.8,33.1,2.99,3.74,86,945,4106,4.8,8.6,46.6,26.7,13.2,6.5,14.5,44.9,16.4,7.4,6.5,3.9,79.1,10.4,8,17.2,4.4,16.8,36.1,97.7,2.3,1.3,2,1.3,78.1,69.2,"Alabama","01007"
"21","Blount County",31.1,32.5,2.74,3.33,39,1556,12102,3.7,4.8,50.5,24.5,16.6,8.5,11,33.4,21.4,12.5,8.6,4.5,80.5,13.1,7.7,14.1,3.2,11.8,36.1,91.8,8.2,3.4,7.6,3.3,81,73,"Alabama","01009"
"26","Bullock County",35,31.8,2.79,3.3,10,259,2047,8.1,3.1,40.5,37.9,10.4,5.3,20,40.3,17.9,4.5,7.4,4.6,74.7,12.1,3.3,12,5.9,9.1,31.9,96.6,3.4,1,2.6,0.8,77.3,60.1,"Alabama","01011"
"31","Butler County",25.7,34.3,3,3.78,50,347,4039,5.7,5.6,47.8,26.8,14.2,4.6,10.3,45.2,16.4,7.4,9.7,6.4,85,16.1,6.6,16.5,3.8,14.3,37.8,98.7,1.3,0.4,0.7,0.1,73.3,64.6,"Alabama","01013"
"36","Calhoun County",31,31.3,2.5,3.03,60,3785,26978,6.1,5.3,41.8,20,26.8,5.2,10.4,32.8,25,8.2,10.5,8,84.4,18.5,10.8,21.2,7.7,19.1,46,95.7,4.3,1.5,3.3,1.2,85.7,75.1,"Alabama","01015"
"41","Chambers County",25.3,34.6,2.46,3.1,56,1047,6807,5.8,3.6,47.8,19.2,23.5,6.2,12.2,36.7,22.3,9.3,9.5,3.8,81.6,13.3,7.9,18.1,2,16.8,40.3,97.6,2.4,1.3,1.2,0.6,79.4,69.4,"Alabama","01017"
"46","Cherokee County",26.7,37.7,2.39,2.94,48,723,5061,3.4,5.6,47.4,27.6,16.1,6.8,11.6,40.3,20.2,8.4,6.6,6.1,81.6,12.8,9.1,17.8,3.5,15.8,36.5,98.5,1.5,0.7,1.2,0.7,81.4,70.7,"Alabama","01019"
"51","Chilton County",32.4,29.7,2.58,3.06,36,1119,9970,6.1,6.2,45.5,26.6,15.6,5.8,12.4,44.4,16.8,7.9,8.1,4.6,81.8,12.7,7.6,19.4,5.5,19.6,40,92.5,7.5,3.2,6.7,2.9,80.1,68.7,"Alabama","01021"
"56","Choctaw County",28.3,38.8,2.4,3.07,55,664,2477,5.4,3.9,46.7,25.7,18.3,5.3,13.3,37.7,20.8,11,7.7,4.3,81.4,11.9,8.6,26.7,7.4,23.9,51.7,98.4,1.6,0.4,1,0.2,76.3,61.3,"Alabama","01023"
"61","Clarke County",25.5,34.7,2.61,3.46,22,629,5299,8.8,3.7,45.9,23.7,17.9,5.2,14.2,41.8,18.6,8,7.2,5,80.6,12.2,6.2,18.2,4.7,15.8,41.5,99.1,0.9,0.6,0.7,0.5,70.3,57.5,"Alabama","01025"
