"","county.2019","total.pop.2019","M.per.100.F.2019","white.2019","black.2019","NA.NI.2019","asian.2019","NH.PI.2019","other.race.2019","hispanic.latino.2019","total.housing.units.2019","state.2019","age.0-19.2019","age.20-34.2019","age.35-54.2019","age.55-64.2019","age.over.64.2019","fips"
"1","Autauga County","55,380","94.7","78.80%","20.00%","0.80%","1.70%","0.20%","0.70%","2.80%","23,493","Alabama",26.1,19.1,27.2,12.6,15,"01001"
"6","Baldwin County","212,830","94.7","87.80%","9.70%","1.60%","1.40%","0.00%","1.30%","4.60%","114,164","Alabama",23.9,16.3,25.4,14.3,20,"01003"
"11","Barbour County","25,361","112.4","47.60%","48.40%","1.10%","0.70%","0.10%","3.70%","4.40%","12,013","Alabama",22.9,20.7,25.1,12.9,18.6,"01005"
"16","Bibb County","22,493","117.5","77.40%","22.70%","0.30%","0.20%","0.00%","0.00%","2.60%","9,185","Alabama",22.4,20.2,28.5,12.8,15.9,"01007"
"21","Blount County","57,681","97.6","97.00%","1.90%","1.20%","0.50%","0.10%","0.90%","9.30%","24,323","Alabama",25.4,17.5,25.9,13.3,17.9,"01009"
"26","Bullock County","10,248","119.1","21.90%","75.60%","0.00%","1.20%","0.00%","2.00%","2.60%","4,557","Alabama",24.8,18.2,26.8,14.1,16.1,"01011"
"31","Butler County","19,828","84.5","53.90%","46.40%","0.70%","0.40%","0.00%","0.70%","1.40%","10,089","Alabama",24.8,17.3,24,14.2,19.6,"01013"
"36","Calhoun County","114,618","92.7","75.80%","22.00%","1.20%","1.40%","0.10%","2.10%","3.80%","53,631","Alabama",24.6,19.6,24.6,13.9,17.2,"01015"
"41","Chambers County","33,660","91.6","58.70%","40.20%","0.50%","1.30%","0.00%","0.30%","2.40%","16,988","Alabama",22.8,18.8,24.9,14.3,19.2,"01017"
"46","Cherokee County","25,903","97.3","93.60%","5.10%","1.50%","0.30%","0.10%","0.40%","1.60%","16,579","Alabama",22.1,14.6,25.3,15.5,22.5,"01019"
"51","Chilton County","44,055","95","85.70%","10.80%","1.90%","0.60%","0.10%","3.70%","7.80%","19,781","Alabama",26.2,18.7,26,13.1,16,"01021"
"56","Choctaw County","12,925","90.6","57.00%","42.80%","0.30%","0.20%","0.00%","0.10%","0.40%","7,359","Alabama",22.9,14.9,24.5,15.3,22.5,"01023"
"61","Clarke County","24,128","89.6","53.70%","46.20%","0.30%","0.50%","0.00%","0.00%","0.30%","12,784","Alabama",24.3,17,25.1,14.2,19.4,"01025"
"66","Clay County","13,337","93.3","83.80%","16.20%","0.40%","0.20%","0.00%","0.10%","3.10%","6,799","Alabama",23.9,16.5,24.7,14.8,20.1,"01027"
"71","Cleburne County","14,916","96.1","95.70%","4.00%","0.70%","0.20%","0.00%","1.40%","2.50%","6,844","Alabama",24.7,16.9,25.9,13.1,19.4,"01029"
"76","Coffee County","51,662","97.3","78.60%","18.60%","2.70%","2.20%","0.10%","1.40%","7.30%","23,188","Alabama",25.8,18.6,26.3,12.7,16.5,"01031"
"81","Colbert County","54,771","92.3","81.00%","17.00%","1.30%","0.90%","0.10%","1.90%","2.80%","26,588","Alabama",23,17.8,25.5,14.2,19.5,"01033"
"86","Conecuh County","12,394","96.2","51.60%","47.80%","0.30%","1.10%","0.00%","0.00%","0.70%","7,182","Alabama",24.2,15.3,23,15.2,22.1,"01035"
"91","Coosa County","10,757","103.2","65.80%","33.60%","0.10%","0.00%","0.00%","0.50%","1.00%","6,585","Alabama",19,14.3,26.4,17.6,22.7,"01037"
"96","Covington County","37,200","93.6","85.60%","14.10%","0.40%","0.70%","0.10%","0.20%","1.70%","18,976","Alabama",23.9,17.1,23.7,14.6,20.8,"01039"
"101","Crenshaw County","13,844","95.1","74.20%","26.00%","1.30%","1.40%","0.10%","0.20%","0.80%","6,815","Alabama",24.5,17.6,24.4,14.7,18.8,"01041"
"106","Cullman County","82,853","96.8","97.00%","1.70%","1.30%","0.80%","0.10%","1.10%","4.40%","37,842","Alabama",24.6,18.2,25.4,13.4,18.3,"01043"
"111","Dale County","49,277","97.3","75.00%","22.00%","1.90%","2.40%","0.10%","2.00%","6.50%","23,103","Alabama",25.4,21.2,24,13.1,16.4,"01045"
"116","Dallas County","39,149","85.5","28.30%","71.00%","0.50%","0.60%","0.10%","0.20%","1.10%","20,419","Alabama",27,17.8,23.2,14.6,17.4,"01047"
"121","DeKalb County","71,310","98.1","87.90%","2.10%","2.60%","0.50%","0.80%","8.80%","14.60%","31,309","Alabama",26.9,17.7,25.6,13.1,16.7,"01049"
"126","Elmore County","81,144","93.6","76.90%","22.00%","0.90%","1.10%","0.10%","0.80%","3.00%","34,165","Alabama",24.8,20.2,27.1,13,14.9,"01051"
"131","Escambia County","37,057","103.6","63.10%","32.60%","4.60%","0.30%","0.20%","0.40%","2.30%","16,586","Alabama",24.5,19.3,25.3,13.3,17.7,"01053"
"136","Etowah County","102,748","93.2","81.60%","16.80%","1.30%","1.00%","0.00%","1.30%","3.90%","47,704","Alabama",23.8,18,25.8,13.7,18.8,"01055"
"141","Fayette County","16,494","97.4","87.40%","13.50%","0.80%","0.60%","0.00%","0.00%","1.80%","8,505","Alabama",23.4,17.2,24,14.5,20.8,"01057"
"146","Franklin County","31,466","99.3","84.30%","4.70%","2.20%","0.60%","0.00%","9.70%","17.20%","14,052","Alabama",27,19.9,24.2,12.1,16.9,"01059"
"151","Geneva County","26,417","94.5","88.20%","10.30%","1.60%","0.50%","0.00%","1.00%","4.00%","12,869","Alabama",24.3,16.2,25.3,14.2,20,"01061"
"156","Greene County","8,324","85.9","19.60%","81.80%","2.30%","0.40%","0.00%","0.50%","1.70%","5,112","Alabama",23.1,19.2,20.5,15.6,21.3,"01063"
"161","Hale County","14,809","90.5","40.00%","59.80%","0.20%","0.20%","0.00%","0.20%","0.00%","7,792","Alabama",26.9,17.1,22.8,14.5,18.8,"01065"
"166","Henry County","17,133","94.4","71.90%","26.90%","0.80%","0.50%","0.20%","1.00%","2.60%","9,155","Alabama",23.5,15,25.3,14.1,22.1,"01067"
"171","Houston County","104,702","92.1","71.10%","27.90%","1.10%","1.30%","0.10%","0.80%","3.30%","47,457","Alabama",25.3,18.7,25.4,13.4,17.2,"01069"
"176","Jackson County","51,852","95.9","94.20%","4.00%","3.20%","0.60%","0.20%","0.60%","2.90%","25,041","Alabama",23.2,16.9,25.7,14.8,19.5,"01071"
"181","Jefferson County","659,680","89.8","53.20%","43.80%","0.70%","2.10%","0.10%","2.00%","3.90%","307,874","Alabama",25.3,20.9,25.1,13.2,15.4,"01073"
"186","Lamar County","13,885","95.5","88.30%","10.80%","0.60%","0.20%","0.00%","0.90%","1.60%","7,403","Alabama",24.3,15.4,24.3,14.5,21.5,"01075"
"191","Lauderdale County","92,556","92.9","88.30%","10.90%","0.90%","0.90%","0.10%","0.40%","2.70%","45,001","Alabama",22.8,20.5,23.5,13.5,19.7,"01077"
"196","Lawrence County","33,058","93.3","82.50%","11.60%","9.90%","0.40%","0.10%","0.80%","2.20%","15,296","Alabama",24,17.5,26.1,14.2,18.1,"01079"
"201","Lee County","161,152","97.3","72.00%","23.90%","0.80%","4.70%","0.10%","0.50%","3.70%","68,972","Alabama",26.1,28,23.8,10.6,11.5,"01081"
"206","Limestone County","94,727","99.7","81.90%","14.40%","1.40%","1.90%","0.20%","2.10%","6.00%","36,056","Alabama",24.9,18.7,28.3,12.9,15.1,"01083"
"211","Lowndes County","10,079","91.7","25.10%","74.90%","0.40%","0.00%","0.00%","0.00%","0.50%","5,224","Alabama",23.9,19,23.9,14.8,18.4,"01085"
