"fips","county.x","state.x","mmd_flu_12","mmd_flu_13","mmd_flu_14","mmd_flu_15","flu_vax_16","mmd_flu_17","mmd_flu_18","mmd_flu_19","mmd_flu_20","mmd_flu_21"
1001,"Autauga County","ALABAMA",42,42,41,39,41,41,41,42,42,36
1003,"Baldwin County","ALABAMA",47,47,47,44,46,45,47,47,48,43
1005,"Barbour County","ALABAMA",32,34,33,31,36,36,38,35,40,33
1007,"Bibb County","ALABAMA",42,33,31,31,37,35,37,31,32,26
1009,"Blount County","ALABAMA",40,41,39,38,38,38,39,39,41,35
1011,"Bullock County","ALABAMA",25,27,26,25,25,27,29,28,31,27
1013,"Butler County","ALABAMA",32,37,37,34,34,34,33,28,33,28
1015,"Calhoun County","ALABAMA",40,40,40,36,37,36,39,37,38,33
1017,"Chambers County","ALABAMA",42,42,43,41,41,40,41,41,42,39
1019,"Cherokee County","ALABAMA",46,45,43,39,41,39,48,47,45,41
1021,"Chilton County","ALABAMA",44,44,45,42,39,41,41,41,40,35
1023,"Choctaw County","ALABAMA",39,42,37,35,35,32,33,32,33,29
1025,"Clarke County","ALABAMA",27,29,28,27,28,26,28,26,30,24
1027,"Clay County","ALABAMA",43,44,43,41,40,41,43,40,40,37
1029,"Cleburne County","ALABAMA",36,38,36,35,34,32,40,38,38,35
1031,"Coffee County","ALABAMA",41,42,42,39,41,36,38,35,36,32
1033,"Colbert County","ALABAMA",47,47,47,44,46,44,46,47,47,41
1035,"Conecuh County","ALABAMA",41,42,42,40,41,41,42,39,40,37
1037,"Coosa County","ALABAMA",36,36,37,35,35,36,40,39,42,34
1039,"Covington County","ALABAMA",39,42,43,43,42,38,39,38,38,34
1041,"Crenshaw County","ALABAMA",37,40,41,39,37,35,39,34,37,30
1043,"Cullman County","ALABAMA",41,43,42,38,40,40,43,43,51,46
1045,"Dale County","ALABAMA",42,42,42,41,43,41,41,40,40,36
1047,"Dallas County","ALABAMA",35,35,34,33,31,31,33,35,36,31
1049,"DeKalb County","ALABAMA",42,43,44,42,41,38,42,40,42,36
1051,"Elmore County","ALABAMA",41,41,41,39,40,38,40,38,39,33
1053,"Escambia County","ALABAMA",35,36,38,35,34,34,36,35,36,30
1055,"Etowah County","ALABAMA",40,40,39,35,34,34,37,36,37,33
1057,"Fayette County","ALABAMA",42,42,44,41,43,44,45,46,48,36
1059,"Franklin County","ALABAMA",41,39,40,37,37,37,39,37,42,35
1061,"Geneva County","ALABAMA",45,44,44,44,45,45,44,42,45,35
1063,"Greene County","ALABAMA",25,24,26,23,26,28,30,23,30,22
1065,"Hale County","ALABAMA",30,31,32,31,30,30,31,30,32,27
1067,"Henry County","ALABAMA",39,39,40,40,41,41,40,37,40,35
1069,"Houston County","ALABAMA",44,43,44,43,44,44,43,43,45,40
1071,"Jackson County","ALABAMA",41,40,46,42,42,41,43,42,43,38
1073,"Jefferson County","ALABAMA",44,44,44,42,43,43,45,45,48,43
1075,"Lamar County","ALABAMA",39,40,39,39,41,38,41,41,41,35
1077,"Lauderdale County","ALABAMA",51,50,53,50,50,49,50,51,54,45
1079,"Lawrence County","ALABAMA",43,41,43,38,38,38,39,36,39,32
1081,"Lee County","ALABAMA",44,44,46,44,44,40,43,43,46,40
1083,"Limestone County","ALABAMA",44,45,49,45,44,45,47,48,49,43
1085,"Lowndes County","ALABAMA",31,36,35,32,35,30,36,35,35,28
1087,"Macon County","ALABAMA",31,32,33,32,32,31,32,31,33,29
1089,"Madison County","ALABAMA",46,46,46,45,45,46,47,46,48,42
1091,"Marengo County","ALABAMA",33,34,32,31,30,30,33,35,36,29
1093,"Marion County","ALABAMA",45,45,41,38,38,38,38,36,38,34
1095,"Marshall County","ALABAMA",46,44,45,42,44,42,48,49,50,43
1097,"Mobile County","ALABAMA",40,42,42,39,41,39,41,41,42,37
1099,"Monroe County","ALABAMA",39,40,41,36,36,35,34,36,38,32
1101,"Montgomery County","ALABAMA",39,40,39,38,39,37,39,37,38,33
1103,"Morgan County","ALABAMA",45,45,47,44,43,43,44,45,48,42
1105,"Perry County","ALABAMA",24,22,24,24,22,21,22,25,27,24
1107,"Pickens County","ALABAMA",49,41,44,39,41,44,44,45,46,41
1109,"Pike County","ALABAMA",37,38,39,37,37,36,37,31,35,32
1111,"Randolph County","ALABAMA",31,34,32,30,31,32,32,28,32,32
1113,"Russell County","ALABAMA",42,42,40,39,39,38,40,38,40,33
1115,"St. Clair County","ALABAMA",40,40,41,38,39,38,42,43,44,36
1117,"Shelby County","ALABAMA",47,46,46,45,44,44,46,46,46,40
1119,"Sumter County","ALABAMA",30,29,32,26,28,27,30,31,32,26
1121,"Talladega County","ALABAMA",33,34,35,34,33,32,34,36,38,32
1123,"Tallapoosa County","ALABAMA",39,39,42,41,42,40,45,44,48,39
1125,"Tuscaloosa County","ALABAMA",46,44,45,43,44,42,43,42,43,40
1127,"Walker County","ALABAMA",41,41,42,41,41,39,41,41,41,35
1129,"Washington County","ALABAMA",31,34,30,27,25,27,27,24,25,21
1131,"Wilcox County","ALABAMA",25,26,25,23,22,22,21,20,26,21
1133,"Winston County","ALABAMA",39,38,41,38,40,38,40,38,39,32
2020,"Anchorage Municipality","ALASKA",34,36,34,33,36,38,39,40,40,38
2050,"Bethel Census Area","ALASKA",3,5,8,14,12,10,8,4,3,3
2060,"Bristol Bay Borough","ALASKA",30,31,33,28,31,34,36,35,38,33
2070,"Dillingham Census Area","ALASKA",22,25,15,20,20,25,20,17,15,10
2090,"Fairbanks North Star Borough","ALASKA",33,35,35,30,31,34,35,37,39,34
2100,"Haines Borough","ALASKA",36,39,37,15,15,27,36,44,21,43
2110,"Juneau City and Borough","ALASKA",41,42,44,34,34,43,46,50,46,41
2122,"Kenai Peninsula Borough","ALASKA",59,31,42,16,21,30,22,25,33,26
2130,"Ketchikan Gateway Borough","ALASKA",37,39,38,34,36,38,44,45,43,36
2150,"Kodiak Island Borough","ALASKA",34,39,41,35,39,42,41,42,37,37
2170,"Matanuska-Susitna Borough","ALASKA",32,33,33,29,30,31,32,33,34,26
2180,"Nome Census Area","ALASKA",8,5,7,5,4,4,4,5,4,3
2220,"Sitka City and Borough","ALASKA",42,40,44,34,18,31,39,43,43,49
2230,"Skagway Municipality","ALASKA",14,17,19,16,15,24,32,26,20,33
2240,"Southeast Fairbanks Census Area","ALASKA",21,30,29,19,23,22,26,29,27,19
2270,"Wade Hampton Census Area","ALASKA",3,5,8,18,18,20,10,4,3,4
2290,"Yukon-Koyukuk Census Area","ALASKA",24,30,34,21,29,32,27,31,34,35
4001,"Apache County","ARIZONA",41,44,39,39,36,38,36,40,41,35
4003,"Cochise County","ARIZONA",34,33,33,31,31,33,34,33,35,30
4005,"Coconino County","ARIZONA",38,37,37,37,38,40,40,39,46,41
4007,"Gila County","ARIZONA",39,39,38,35,36,38,40,39,42,36
4009,"Graham County","ARIZONA",36,38,38,37,37,39,40,29,30,24
4011,"Greenlee County","ARIZONA",26,25,24,27,28,30,30,27,31,24
4012,"La Paz County","ARIZONA",35,34,33,28,26,29,31,31,33,23
4013,"Maricopa County","ARIZONA",45,46,46,44,46,49,50,50,54,48
4015,"Mohave County","ARIZONA",40,39,40,37,37,39,41,40,41,34
4017,"Navajo County","ARIZONA",38,37,37,35,36,39,39,36,38,35
4019,"Pima County","ARIZONA",45,47,47,44,47,49,50,50,53,49
4021,"Pinal County","ARIZONA",40,42,42,39,40,43,44,44,48,41
4023,"Santa Cruz County","ARIZONA",26,28,29,27,31,35,36,35,39,35
4025,"Yavapai County","ARIZONA",45,45,45,41,42,44,45,45,48,40
4027,"Yuma County","ARIZONA",43,41,42,37,40,41,40,40,44,38
4990,"","ARIZONA",33,29,52,37,40,52,33,47,39,50
5001,"Arkansas County","ARKANSAS",30,30,38,39,38,40,42,44,44,42
5003,"Ashley County","ARKANSAS",36,41,45,42,40,43,43,43,48,43
5005,"Baxter County","ARKANSAS",48,49,51,47,48,47,50,50,50,45
5007,"Benton County","ARKANSAS",49,49,51,48,49,51,54,54,56,50
5009,"Boone County","ARKANSAS",44,43,45,42,43,45,46,44,46,42
5011,"Bradley County","ARKANSAS",43,44,50,48,47,49,51,47,41,45
5013,"Calhoun County","ARKANSAS",33,34,43,32,30,34,33,33,32,30
5015,"Carroll County","ARKANSAS",44,45,47,41,42,42,45,45,47,40
5017,"Chicot County","ARKANSAS",18,19,21,21,21,25,28,29,36,29
5019,"Clark County","ARKANSAS",49,47,52,49,48,49,48,47,47,34
5021,"Clay County","ARKANSAS",24,26,25,27,31,31,33,31,33,36
5023,"Cleburne County","ARKANSAS",48,46,49,46,46,45,47,37,41,38
5025,"Cleveland County","ARKANSAS",46,46,46,41,41,44,46,43,45,46
5027,"Columbia County","ARKANSAS",41,45,48,43,45,45,47,46,44,42
5029,"Conway County","ARKANSAS",42,40,40,24,23,27,31,31,35,32
5031,"Craighead County","ARKANSAS",45,46,48,46,47,48,52,52,55,50
5033,"Crawford County","ARKANSAS",42,41,43,40,40,42,46,46,48,43
5035,"Crittenden County","ARKANSAS",34,35,37,36,36,37,38,38,42,38
5037,"Cross County","ARKANSAS",34,38,40,37,38,39,44,44,45,41
5039,"Dallas County","ARKANSAS",42,43,36,36,30,32,36,41,33,25
5041,"Desha County","ARKANSAS",27,32,36,36,34,38,40,40,44,40
5043,"Drew County","ARKANSAS",41,42,44,42,40,42,44,43,46,41
5045,"Faulkner County","ARKANSAS",42,44,46,44,45,47,50,49,52,47
5047,"Franklin County","ARKANSAS",40,42,43,45,38,47,47,48,50,44
5049,"Fulton County","ARKANSAS",32,32,38,37,35,37,40,41,42,40
5051,"Garland County","ARKANSAS",55,55,56,53,53,55,56,57,59,53
5053,"Grant County","ARKANSAS",46,47,53,50,51,53,56,55,55,49
5055,"Greene County","ARKANSAS",41,40,44,41,43,44,49,46,50,44
5057,"Hempstead County","ARKANSAS",45,43,44,39,38,40,40,37,39,37
5059,"Hot Spring County","ARKANSAS",53,51,54,52,53,54,55,52,53,47
5061,"Howard County","ARKANSAS",47,48,51,44,40,45,46,45,48,40
5063,"Independence County","ARKANSAS",46,44,46,49,46,43,50,51,53,47
5065,"Izard County","ARKANSAS",40,40,44,41,40,37,38,38,41,38
5067,"Jackson County","ARKANSAS",48,47,50,48,48,48,52,52,51,50
5069,"Jefferson County","ARKANSAS",35,36,38,36,37,39,40,40,44,42
5071,"Johnson County","ARKANSAS",43,44,48,45,44,46,47,46,50,43
5073,"Lafayette County","ARKANSAS",33,29,32,29,29,30,29,32,35,34
5075,"Lawrence County","ARKANSAS",34,26,27,25,24,25,29,27,27,24
5077,"Lee County","ARKANSAS",34,27,32,31,32,33,34,35,38,33
5079,"Lincoln County","ARKANSAS",37,38,41,42,39,41,44,40,39,40
5081,"Little River County","ARKANSAS",41,36,44,43,44,46,49,47,48,39
5083,"Logan County","ARKANSAS",30,28,32,30,26,32,32,32,33,34
5085,"Lonoke County","ARKANSAS",44,44,49,46,46,48,51,50,51,45
5087,"Madison County","ARKANSAS",32,33,38,39,40,42,42,41,41,36
5089,"Marion County","ARKANSAS",37,35,39,35,36,34,36,37,39,33
5091,"Miller County","ARKANSAS",44,41,42,41,43,42,45,42,44,39
5093,"Mississippi County","ARKANSAS",35,36,40,39,39,40,42,44,46,37
5095,"Monroe County","ARKANSAS",24,24,29,27,24,25,27,25,27,22
5097,"Montgomery County","ARKANSAS",35,32,34,32,27,30,31,33,33,29
5099,"Nevada County","ARKANSAS",47,44,46,44,38,39,40,36,39,37
5101,"Newton County","ARKANSAS",30,22,22,22,25,26,26,26,35,29
5103,"Ouachita County","ARKANSAS",40,44,45,44,44,47,49,46,50,46
5105,"Perry County","ARKANSAS",39,42,46,41,40,42,46,45,50,43
5107,"Phillips County","ARKANSAS",26,25,27,23,20,25,26,27,33,31
5109,"Pike County","ARKANSAS",34,33,37,30,29,30,32,31,39,38
5111,"Poinsett County","ARKANSAS",36,40,41,41,43,43,45,46,47,44
5113,"Polk County","ARKANSAS",40,37,38,35,35,35,36,35,32,26
5115,"Pope County","ARKANSAS",44,45,46,43,43,45,47,47,48,42
